Label,Patchbay,Row,Done
MFREAK L,PB1,Top,
MFREAK R,PB1,Top,
DGX L,PB1,Top,
DGX R,PB1,Top,
OCTO-D OUT 3,PB1,Top,
OCTO-D OUT 4,PB1,Top,
OCTO-D OUT 5,PB1,Top,
OCTO-D OUT 6,PB1,Top,
MPC OUT 1,PB1,Top,
MPC OUT 2,PB1,Top,
MPC OUT 3,PB1,Top,
MPC OUT 4,PB1,Top,
MPC OUT 5,PB1,Top,
MPC OUT 6,PB1,Top,
OCTO OUT 3,PB1,Top,
OCTO OUT 4,PB1,Top,
OCTO OUT 5,PB1,Top,
OCTO OUT 6,PB1,Top,
OCTO-D IN 3,PB1,Bottom,
OCTO-D IN 4,PB1,Bottom,
OCTO-D IN 5,PB1,Bottom,
OCTO-D IN 6,PB1,Bottom,
MPC IN 1,PB1,Bottom,
MPC IN 2,PB1,Bottom,
MPC IN 3,PB1,Bottom,
MPC IN 4,PB1,Bottom,
OCTO IN 3,PB1,Bottom,
OCTO IN 4,PB1,Bottom,
OCTO IN 5,PB1,Bottom,
OCTO IN 6,PB1,Bottom,
MPC OUT 7,PB2,Top,
MPC OUT 8,PB2,Top,
VLA OUT L,PB2,Top,
VLA OUT R,PB2,Top,
VCA OUT L,PB2,Top,
VCA OUT R,PB2,Top,
GA EQ OUT,PB2,Top,
ULTRA OUT L,PB2,Top,
ULTRA OUT R,PB2,Top,
LEX A OUT L,PB2,Top,
LEX A OUT R,PB2,Top,
LEX B OUT L,PB2,Top,
LEX B OUT R,PB2,Top,
NUMARK L,PB2,Top,
NUMARK R,PB2,Top,
UR OUT 1,PB2,Top,
UR OUT 2,PB2,Top,
VLA IN L,PB2,Bottom,
VLA IN R,PB2,Bottom,
VCA IN L,PB2,Bottom,
VCA IN R,PB2,Bottom,
GA EQ IN,PB2,Bottom,
ULTRA IN L,PB2,Bottom,
ULTRA IN R,PB2,Bottom,
LEX A IN L,PB2,Bottom,
LEX A IN R,PB2,Bottom,
LEX B IN L,PB2,Bottom,
LEX B IN R,PB2,Bottom,
NUMARK RTN L,PB2,Bottom,
NUMARK RTN R,PB2,Bottom,
UR IN 1,PB2,Bottom,
UR IN 2,PB2,Bottom,
OCTO-D IN 7,PB2,Bottom,
OCTO-D IN 8,PB2,Bottom,
WA73 OUT,Vocals,Top,
FET OUT,Vocals,Top,
AUTOTUNE OUT,Vocals,Top,
KLARK OUT,Vocals,Top,
PRESONUS OUT,Vocals,Top,
18i20 OUT 1,Vocals,Top,
18i20 OUT 2,Vocals,Top,
18i20 OUT 3,Vocals,Top,
18i20 OUT 4,Vocals,Top,
TO PROD 1,Vocals,Top,
TO PROD 2,Vocals,Top,
TO PROD 3,Vocals,Top,
TO PROD 4,Vocals,Top,
FET IN,Vocals,Bottom,
AUTOTUNE IN,Vocals,Bottom,
KLARK IN,Vocals,Bottom,
18i20 LINE 1,Vocals,Bottom,
18i20 LINE 2,Vocals,Bottom,
18i20 LINE 3,Vocals,Bottom,
18i20 LINE 4,Vocals,Bottom,
FROM PROD 1,Vocals,Bottom,
FROM PROD 2,Vocals,Bottom,
FROM PROD 3,Vocals,Bottom,
FROM PROD 4,Vocals,Bottom,
